aflopen,to end
aanbieden,to offer
aankomen,to arrive
bedoelen,to mean/intend
beginnen,to begin
begrijpen,to understand
bellen,to call
beloven,to promise
bestellen,to order
betalen,to pay
betekenen,to mean/signify
bevallen,to give birth
bewaren,to save
bewegen,to move
bezoeken,to visit
bidden,to pray
blijken,to come true/turn out
blijven,to stay
boeren,to burp
brengen,to bring
checken,to check
dansen,to dance
denken,to think
doen,to do
douchen,to shower
draaien,to turn around
dragen,to wear
drinken,to drink
duren,to last/to take
durven,to dare
eisen,to demand
ervaren,to experience
eten,to eat
gaan,to go
gapen,to yawn
gebeuren,to happen
gebruiken,to use
geloven,to believe
genieten,to enjoy
geven,to give/matter
grijpen,to grab
groeten,to greet
haasten,to hurry up
halen,to get/pass an exam
hangen,to hang
hebben,to have
helpen,to help
herhalen,to repeat
herinneren,to remember
herkennen,to recognize
hoesten,to cough
hoeven,to need
horen,to hear
huilen,to cry
huren,to rent
inschrijven,to subscribe
kommen,to comb
kouwen,to chew
kennen,to know
kiezen,to choose/elect
kijken,to watch
klagen,to complain
klinken,to sound
kloppen,to be correct
koken,to cook
kopen,to buy
komen,to come
kunnen,to be able/can
kussen,to kiss
kraken,to crack
krijgen,to get/obtain
lachen,to laugh
laten,to allow/let
laten zien,to show
leven,to live
leren,to learn
lezen,to read
leggen,to lay down/put
liegen,to lie
liggen,to lay/be situated
lijken,to look like/seem
lukken,to succeed/go well
lopen,to walk
luisteren,to listen
lusten,to like/enjoy food
